seller-3-1  | INFO:     172.18.0.3:39434 - "POST /reset HTTP/1.1" 200 OK
seller-2-1  | INFO:     172.18.0.3:39050 - "POST /reset HTTP/1.1" 422 Unprocessable Entity
seller-1-1  | INFO:     172.18.0.3:53098 - "POST /buy HTTP/1.1" 200 OK
seller-1-1  | INFO:     172.18.0.3:53094 - "POST /buy HTTP/1.1" 200 OK
seller-1-1  | INFO:     172.18.0.3:53088 - "POST /buy HTTP/1.1" 200 OK
seller-1-1  | INFO:     172.18.0.3:53080 - "POST /buy HTTP/1.1" 200 OK
seller-1-1  | INFO:     172.18.0.3:53092 - "POST /buy HTTP/1.1" 200 OK
seller-1-1  | INFO:     172.18.0.3:53118 - "POST /buy HTTP/1.1" 200 OK
seller-1-1  | INFO:     172.18.0.3:53132 - "POST /buy HTTP/1.1" 200 OK
seller-1-1  | INFO:     172.18.0.3:53140 - "POST /buy HTTP/1.1" 200 OK
seller-1-1  | INFO:     172.18.0.3:53144 - "POST /buy HTTP/1.1" 200 OK
seller-1-1  | INFO:     172.18.0.3:53146 - "POST /buy HTTP/1.1" 200 OK
seller-1-1  | INFO:     172.18.0.3:53156 - "POST /buy HTTP/1.1" 200 OK
seller-3-1  | INFO:     172.18.0.3:39494 - "POST /buy HTTP/1.1" 200 OK
seller-1-1  | INFO:     172.18.0.3:53170 - "POST /buy HTTP/1.1" 200 OK
seller-3-1  | INFO:     172.18.0.3:39460 - "POST /buy HTTP/1.1" 200 OK
seller-3-1  | INFO:     172.18.0.3:39470 - "POST /buy HTTP/1.1" 200 OK
seller-3-1  | INFO:     172.18.0.3:39478 - "POST /buy HTTP/1.1" 200 OK
seller-3-1  | INFO:     172.18.0.3:39444 - "POST /buy HTTP/1.1" 200 OK
seller-3-1  | INFO:     172.18.0.3:39584 - "POST /buy HTTP/1.1" 200 OK
seller-2-1  | INFO:     172.18.0.3:35042 - "POST /buy HTTP/1.1" 200 OK
seller-2-1  | INFO:     172.18.0.3:35088 - "POST /buy HTTP/1.1" 200 OK
seller-2-1  | INFO:     172.18.0.3:35050 - "POST /buy HTTP/1.1" 200 OK
seller-2-1  | INFO:     172.18.0.3:35094 - "POST /buy HTTP/1.1" 200 OK
seller-3-1  | INFO:     172.18.0.3:39548 - "POST /buy HTTP/1.1" 200 OK
seller-3-1  | INFO:     172.18.0.3:39606 - "POST /buy HTTP/1.1" 200 OK
seller-3-1  | INFO:     172.18.0.3:39596 - "POST /buy HTTP/1.1" 200 OK
seller-3-1  | INFO:     172.18.0.3:39534 - "POST /buy HTTP/1.1" 200 OK
seller-3-1  | INFO:     172.18.0.3:39568 - "POST /buy HTTP/1.1" 200 OK
seller-2-1  | INFO:     172.18.0.3:35056 - "POST /buy HTTP/1.1" 200 OK
seller-2-1  | INFO:     172.18.0.3:35148 - "POST /buy HTTP/1.1" 200 OK
seller-2-1  | INFO:     172.18.0.3:35152 - "POST /buy HTTP/1.1" 200 OK
seller-2-1  | INFO:     172.18.0.3:35068 - "POST /buy HTTP/1.1" 200 OK
seller-2-1  | INFO:     172.18.0.3:35176 - "POST /buy HTTP/1.1" 200 OK
seller-2-1  | INFO:     172.18.0.3:35080 - "POST /buy HTTP/1.1" 200 OK
seller-3-1  | INFO:     172.18.0.3:39478 - "POST /buy HTTP/1.1" 200 OK
seller-3-1  | INFO:     172.18.0.3:39508 - "POST /buy HTTP/1.1" 200 OK
seller-3-1  | INFO:     172.18.0.3:39606 - "POST /buy HTTP/1.1" 200 OK
seller-3-1  | INFO:     172.18.0.3:39548 - "POST /buy HTTP/1.1" 200 OK
seller-3-1  | INFO:     172.18.0.3:39552 - "POST /buy HTTP/1.1" 200 OK
seller-1-1  | INFO:     172.18.0.3:53216 - "POST /buy HTTP/1.1" 200 OK
seller-1-1  | INFO:     172.18.0.3:53244 - "POST /buy HTTP/1.1" 200 OK
seller-1-1  | INFO:     172.18.0.3:53200 - "POST /buy HTTP/1.1" 200 OK
seller-1-1  | INFO:     172.18.0.3:53218 - "POST /buy HTTP/1.1" 200 OK
seller-1-1  | INFO:     172.18.0.3:53228 - "POST /buy HTTP/1.1" 200 OK
seller-3-1  | INFO:     172.18.0.3:39590 - "POST /buy HTTP/1.1" 200 OK
seller-3-1  | INFO:     172.18.0.3:39518 - "POST /buy HTTP/1.1" 200 OK
seller-2-1  | INFO:     172.18.0.3:35168 - "POST /buy HTTP/1.1" 200 OK
seller-2-1  | INFO:     172.18.0.3:35196 - "POST /buy HTTP/1.1" 200 OK
seller-2-1  | INFO:     172.18.0.3:35062 - "POST /buy HTTP/1.1" 200 OK
seller-3-1  | INFO:     172.18.0.3:39550 - "POST /buy HTTP/1.1" 200 OK
seller-3-1  | INFO:     172.18.0.3:39594 - "POST /buy HTTP/1.1" 200 OK
seller-3-1  | INFO:     172.18.0.3:39606 - "POST /buy HTTP/1.1" 200 OK
seller-1-1  | INFO:     172.18.0.3:53104 - "POST /buy HTTP/1.1" 200 OK
seller-1-1  | INFO:     172.18.0.3:53274 - "POST /buy HTTP/1.1" 200 OK
seller-1-1  | INFO:     172.18.0.3:53224 - "POST /buy HTTP/1.1" 200 OK
seller-1-1  | INFO:     172.18.0.3:53268 - "POST /buy HTTP/1.1" 200 OK
seller-3-1  | INFO:     172.18.0.3:39552 - "POST /buy HTTP/1.1" 200 OK
seller-3-1  | INFO:     172.18.0.3:39518 - "POST /buy HTTP/1.1" 200 OK
seller-3-1  | INFO:     172.18.0.3:39552 - "POST /buy HTTP/1.1" 200 OK
seller-3-1  | INFO:     172.18.0.3:39518 - "POST /buy HTTP/1.1" 200 OK
seller-3-1  | INFO:     172.18.0.3:39434 - "POST /buy HTTP/1.1" 200 OK
seller-3-1  | INFO:     172.18.0.3:39508 - "POST /buy HTTP/1.1" 200 OK
seller-2-1  | INFO:     172.18.0.3:35042 - "POST /buy HTTP/1.1" 200 OK
seller-2-1  | INFO:     172.18.0.3:35134 - "POST /buy HTTP/1.1" 200 OK
seller-2-1  | INFO:     172.18.0.3:35180 - "POST /buy HTTP/1.1" 200 OK
seller-2-1  | INFO:     172.18.0.3:35178 - "POST /buy HTTP/1.1" 200 OK
seller-2-1  | INFO:     172.18.0.3:35160 - "POST /buy HTTP/1.1" 200 OK
seller-3-1  | INFO:     172.18.0.3:39594 - "POST /buy HTTP/1.1" 200 OK
seller-2-1  | INFO:     172.18.0.3:35230 - "POST /buy HTTP/1.1" 200 OK
seller-3-1  | INFO:     172.18.0.3:39594 - "POST /buy HTTP/1.1" 200 OK
seller-3-1  | INFO:     172.18.0.3:39444 - "POST /buy HTTP/1.1" 200 OK
seller-3-1  | INFO:     172.18.0.3:39552 - "POST /buy HTTP/1.1" 200 OK
seller-3-1  | INFO:     172.18.0.3:39552 - "POST /buy HTTP/1.1" 200 OK
seller-3-1  | INFO:     172.18.0.3:39594 - "POST /buy HTTP/1.1" 200 OK
seller-2-1  | INFO:     172.18.0.3:35152 - "POST /buy HTTP/1.1" 200 OK
seller-2-1  | INFO:     172.18.0.3:35208 - "POST /buy HTTP/1.1" 200 OK
seller-2-1  | INFO:     172.18.0.3:35190 - "POST /buy HTTP/1.1" 200 OK
seller-2-1  | INFO:     172.18.0.3:35068 - "POST /buy HTTP/1.1" 200 OK
seller-2-1  | INFO:     172.18.0.3:35042 - "POST /buy HTTP/1.1" 200 OK
seller-2-1  | INFO:     172.18.0.3:35094 - "POST /buy HTTP/1.1" 200 OK
seller-2-1  | INFO:     172.18.0.3:35134 - "POST /buy HTTP/1.1" 200 OK
seller-2-1  | INFO:     172.18.0.3:35122 - "POST /buy HTTP/1.1" 200 OK
seller-2-1  | INFO:     172.18.0.3:35062 - "POST /buy HTTP/1.1" 200 OK
seller-2-1  | INFO:     172.18.0.3:35208 - "POST /buy HTTP/1.1" 200 OK
seller-2-1  | INFO:     172.18.0.3:35190 - "POST /buy HTTP/1.1" 200 OK
seller-2-1  | INFO:     172.18.0.3:35216 - "POST /buy HTTP/1.1" 200 OK
seller-2-1  | INFO:     172.18.0.3:35102 - "POST /buy HTTP/1.1" 200 OK
seller-3-1  | INFO:     172.18.0.3:39508 - "POST /buy HTTP/1.1" 200 OK
seller-3-1  | INFO:     172.18.0.3:39606 - "POST /buy HTTP/1.1" 200 OK
seller-2-1  | INFO:     172.18.0.3:35122 - "POST /buy HTTP/1.1" 200 OK
seller-2-1  | INFO:     172.18.0.3:35116 - "POST /buy HTTP/1.1" 200 OK
seller-2-1  | INFO:     172.18.0.3:35216 - "POST /buy HTTP/1.1" 200 OK
seller-2-1  | INFO:     172.18.0.3:35190 - "POST /buy HTTP/1.1" 200 OK
seller-2-1  | INFO:     172.18.0.3:35062 - "POST /buy HTTP/1.1" 200 OK
seller-2-1  | INFO:     172.18.0.3:35102 - "POST /buy HTTP/1.1" 200 OK
seller-2-1  | INFO:     172.18.0.3:35116 - "POST /buy HTTP/1.1" 200 OK
seller-3-1  | INFO:     172.18.0.3:39518 - "POST /buy HTTP/1.1" 200 OK
seller-3-1  | INFO:     172.18.0.3:39518 - "POST /buy HTTP/1.1" 200 OK
seller-2-1  | INFO:     172.18.0.3:35068 - "POST /buy HTTP/1.1" 200 OK
seller-3-1  | INFO:     172.18.0.3:39606 - "POST /buy HTTP/1.1" 200 OK
seller-3-1  | INFO:     172.18.0.3:39552 - "POST /buy HTTP/1.1" 200 OK
seller-2-1  | INFO:     172.18.0.3:35190 - "POST /buy HTTP/1.1" 200 OK
seller-2-1  | INFO:     172.18.0.3:35116 - "POST /buy HTTP/1.1" 200 OK
seller-2-1  | INFO:     172.18.0.3:35068 - "POST /buy HTTP/1.1" 200 OK
seller-1-1  | INFO:     172.18.0.3:53248 - "POST /buy HTTP/1.1" 200 OK
seller-1-1  | INFO:     172.18.0.3:53302 - "POST /buy HTTP/1.1" 200 OK
seller-1-1  | INFO:     172.18.0.3:53262 - "POST /buy HTTP/1.1" 200 OK
seller-1-1  | INFO:     172.18.0.3:53184 - "POST /buy HTTP/1.1" 200 OK
seller-1-1  | INFO:     172.18.0.3:53290 - "POST /buy HTTP/1.1" 200 OK
seller-1-1  | INFO:     172.18.0.3:53318 - "POST /buy HTTP/1.1" 200 OK
seller-3-1  | INFO:     172.18.0.3:39552 - "POST /buy HTTP/1.1" 200 OK
seller-3-1  | INFO:     172.18.0.3:39606 - "POST /buy HTTP/1.1" 200 OK
seller-3-1  | INFO:     172.18.0.3:39606 - "POST /buy HTTP/1.1" 200 OK
seller-3-1  | INFO:     172.18.0.3:39552 - "POST /buy HTTP/1.1" 200 OK
seller-1-1  | INFO:     172.18.0.3:53088 - "POST /buy HTTP/1.1" 200 OK
seller-1-1  | INFO:     172.18.0.3:53304 - "POST /buy HTTP/1.1" 200 OK
seller-1-1  | INFO:     172.18.0.3:53098 - "POST /buy HTTP/1.1" 200 OK
seller-1-1  | INFO:     172.18.0.3:53092 - "POST /buy HTTP/1.1" 200 OK
seller-1-1  | INFO:     172.18.0.3:53396 - "POST /buy HTTP/1.1" 200 OK
seller-2-1  | INFO:     172.18.0.3:35190 - "POST /buy HTTP/1.1" 200 OK
seller-1-1  | INFO:     172.18.0.3:53368 - "POST /buy HTTP/1.1" 200 OK
seller-1-1  | INFO:     172.18.0.3:53330 - "POST /buy HTTP/1.1" 200 OK
seller-1-1  | INFO:     172.18.0.3:53384 - "POST /buy HTTP/1.1" 200 OK
seller-1-1  | INFO:     172.18.0.3:53346 - "POST /buy HTTP/1.1" 200 OK
seller-1-1  | INFO:     172.18.0.3:53342 - "POST /buy HTTP/1.1" 200 OK
seller-1-1  | INFO:     172.18.0.3:53144 - "POST /buy HTTP/1.1" 200 OK
seller-1-1  | INFO:     172.18.0.3:53436 - "POST /buy HTTP/1.1" 200 OK
seller-1-1  | INFO:     172.18.0.3:53094 - "POST /buy HTTP/1.1" 200 OK
seller-1-1  | INFO:     172.18.0.3:53352 - "POST /buy HTTP/1.1" 200 OK
seller-1-1  | INFO:     172.18.0.3:53216 - "POST /buy HTTP/1.1" 200 OK
seller-1-1  | INFO:     172.18.0.3:53218 - "POST /buy HTTP/1.1" 200 OK
seller-1-1  | INFO:     172.18.0.3:53450 - "POST /buy HTTP/1.1" 200 OK
